canonical,category,status,role,backends,genuine_usable,semantic_golden_verified,source_contract_verified,parameter_injectivity_passed,blockers
intra_limit_first_hit_time,intraday_microstructure,experimental,,pandas_numpy;polars,False,False,False,False,UNCERTIFIED_SEMANTIC_GOLDEN|SOURCE_PIT_UNCERTIFIED|NOT_PRODUCTION_CERTIFIED|DEAD_OR_UNPROVEN_SEARCHABLE_PARAMETER
intra_limit_reopen_count,intraday_microstructure,experimental,,pandas_numpy;polars,False,False,False,False,UNCERTIFIED_SEMANTIC_GOLDEN|SOURCE_PIT_UNCERTIFIED|NOT_PRODUCTION_CERTIFIED|DEAD_OR_UNPROVEN_SEARCHABLE_PARAMETER
intra_longest_above_vwap_streak,intraday_microstructure,experimental,,pandas_numpy;polars,False,False,False,False,UNCERTIFIED_SEMANTIC_GOLDEN|SOURCE_PIT_UNCERTIFIED|NOT_PRODUCTION_CERTIFIED|DEAD_OR_UNPROVEN_SEARCHABLE_PARAMETER
intra_longest_below_vwap_streak,intraday_microstructure,experimental,,pandas_numpy;polars,False,False,False,False,UNCERTIFIED_SEMANTIC_GOLDEN|SOURCE_PIT_UNCERTIFIED|NOT_PRODUCTION_CERTIFIED|DEAD_OR_UNPROVEN_SEARCHABLE_PARAMETER
intra_low_time,intraday_microstructure,experimental,,pandas_numpy;polars,False,False,False,False,UNCERTIFIED_SEMANTIC_GOLDEN|SOURCE_PIT_UNCERTIFIED|NOT_PRODUCTION_CERTIFIED|DEAD_OR_UNPROVEN_SEARCHABLE_PARAMETER
intra_lunch_gap_return,intraday_microstructure,experimental,,pandas_numpy;polars,False,False,False,True,UNCERTIFIED_SEMANTIC_GOLDEN|SOURCE_PIT_UNCERTIFIED|NOT_PRODUCTION_CERTIFIED
intra_market_lead_lag_ex_self,intraday_microstructure,experimental,,pandas_numpy;polars,False,False,False,False,UNCERTIFIED_SEMANTIC_GOLDEN|SOURCE_PIT_UNCERTIFIED|NOT_PRODUCTION_CERTIFIED|DEAD_OR_UNPROVEN_SEARCHABLE_PARAMETER
intra_market_model_r2,intraday_microstructure,experimental,,pandas_numpy;polars,False,False,False,False,UNCERTIFIED_SEMANTIC_GOLDEN|SOURCE_PIT_UNCERTIFIED|NOT_PRODUCTION_CERTIFIED|DEAD_OR_UNPROVEN_SEARCHABLE_PARAMETER
intra_market_model_r2_ex_self,intraday_microstructure,experimental,,pandas_numpy;polars,False,False,False,False,UNCERTIFIED_SEMANTIC_GOLDEN|SOURCE_PIT_UNCERTIFIED|NOT_PRODUCTION_CERTIFIED|DEAD_OR_UNPROVEN_SEARCHABLE_PARAMETER
intra_max_drawdown,intraday_microstructure,experimental,,pandas_numpy;polars,False,False,False,False,UNCERTIFIED_SEMANTIC_GOLDEN|SOURCE_PIT_UNCERTIFIED|NOT_PRODUCTION_CERTIFIED|DEAD_OR_UNPROVEN_SEARCHABLE_PARAMETER
intra_max_drawup,intraday_microstructure,experimental,,pandas_numpy;polars,False,False,False,False,UNCERTIFIED_SEMANTIC_GOLDEN|SOURCE_PIT_UNCERTIFIED|NOT_PRODUCTION_CERTIFIED|DEAD_OR_UNPROVEN_SEARCHABLE_PARAMETER
intra_negative_jump_variation,,production,,pandas_numpy;polars,False,,,False,UNCERTIFIED_SEMANTIC_GOLDEN|SOURCE_PIT_UNCERTIFIED|DEAD_OR_UNPROVEN_SEARCHABLE_PARAMETER
intra_negative_tail_variation,intraday_microstructure,experimental,,pandas_numpy;polars,False,False,False,False,UNCERTIFIED_SEMANTIC_GOLDEN|SOURCE_PIT_UNCERTIFIED|NOT_PRODUCTION_CERTIFIED|DEAD_OR_UNPROVEN_SEARCHABLE_PARAMETER
intra_path_efficiency,intraday_microstructure,experimental,,pandas_numpy;polars,False,False,False,False,UNCERTIFIED_SEMANTIC_GOLDEN|SOURCE_PIT_UNCERTIFIED|NOT_PRODUCTION_CERTIFIED|DEAD_OR_UNPROVEN_SEARCHABLE_PARAMETER
