canonical,markets,sources,context_admitted
holder_class_entropy,ashare|us,shareholder_pit,True
holder_class_js_shift,ashare|us,shareholder_pit,True
holder_common_holding_peer_return,ashare|us,shareholder_pit,True
holder_company_ownership_hhi,ashare|us,shareholder_pit,True
holder_concentration,ashare|us,shareholder_pit,True
holder_concentration_acceleration,ashare|us,shareholder_pit,True
holder_concentration_slope,ashare|us,shareholder_pit,True
holder_disclosure_count,ashare|us,shareholder_pit,True
holder_disclosure_coverage,ashare|us,shareholder_pit,True
holder_entry_share,ashare|us,shareholder_pit,True
holder_exit_share,ashare|us,shareholder_pit,True
holder_float_concentration_gap,ashare|us,shareholder_pit,True
holder_freeze_concentration,ashare|us,shareholder_pit,True
holder_freeze_ratio,ashare|us,shareholder_pit,True
holder_id_matched_churn,ashare|us,shareholder_pit,True
holder_id_matched_entry_share,ashare|us,shareholder_pit,True
holder_id_matched_exit_share,ashare|us,shareholder_pit,True
holder_id_overlap_ratio,ashare|us,shareholder_pit,True
holder_locked_share_ratio,ashare|us,shareholder_pit,True
holder_nature_entropy,ashare|us,shareholder_pit,True
holder_net_entry_share,ashare|us,shareholder_pit,True
holder_observed_topk_hhi,ashare|us,shareholder_pit,True
holder_peer_return_breadth,ashare|us,shareholder_pit,True
holder_pledge_change,ashare|us,shareholder_pit,True
holder_pledge_concentration,ashare|us,shareholder_pit,True
holder_pledge_ratio,ashare|us,shareholder_pit,True
holder_pledged_holder_count,ashare|us,shareholder_pit,True
holder_rank_stability,ashare|us,shareholder_pit,True
holder_share_weighted_rank_migration,ashare|us,shareholder_pit,True
holder_shareholder_network_centrality,ashare|us,shareholder_pit,True
holder_shareholder_overlap_ratio,ashare|us,shareholder_pit,True
holder_topk_share_sum,ashare|us,shareholder_pit,True
holder_weighted_churn,ashare|us,shareholder_pit,True
hump_decay,ashare|us,daily_bar,True
ichimoku_cloud_position,ashare|us,daily_bar,True
ichimoku_cloud_width,ashare|us,daily_bar,True
ichimoku_kijun,ashare|us,daily_bar,True
ichimoku_senkou_a,ashare|us,daily_bar,True
ichimoku_senkou_b,ashare|us,daily_bar,True
ichimoku_tenkan,ashare|us,daily_bar,True
idio_skew,ashare|us,daily_bar,True
idio_vol,ashare|us,daily_bar,True
index_entry_exit_event,ashare|us,index_pit,True
index_event_decay,ashare|us,index_pit,True
index_member,ashare|us,index_pit,True
index_membership_age,ashare|us,index_pit,True
index_reconstitution_churn,ashare|us,index_pit,True
index_weight,ashare|us,index_pit,True
index_weight_change,ashare|us,index_pit,True
index_weight_gap_to_free_float,ashare|us,index_pit,True
industry_rolling_pca_loading,ashare|us,daily_bar,True
industry_size_neutralize,ashare|us,daily_bar,True
intra_abs_return_profile_cosine,ashare|us,minute_bar,True
intra_amihud,ashare|us,minute_bar,True
intra_amount_profile_cosine,ashare|us,minute_bar,True
intra_amount_profile_jsd,ashare|us,minute_bar,True
intra_bar_range_deviation,ashare|us,minute_bar,True
intra_bar_range_persistence,ashare|us,minute_bar,True
intra_beta_asymmetry,ashare|us,minute_bar,True
intra_bipower_variation,ashare|us,minute_bar,True
intra_close_participation,ashare|us,minute_bar,True
intra_concentration,ashare|us,minute_bar,True
intra_continuous_variance,ashare|us,minute_bar,True
intra_down_down_semibeta,ashare|us,minute_bar,True
intra_down_up_semibeta,ashare|us,minute_bar,True
intra_drawdown_depth,ashare|us,minute_bar,True
intra_drawdown_duration,ashare|us,minute_bar,True
intra_drawdown_recovery_half_life,ashare|us,minute_bar,True
intra_entropy,ashare|us,minute_bar,True
intra_extreme_bar_return,ashare|us,minute_bar,True
intra_high_low_affinity,ashare|us,minute_bar,True
intra_high_time,ashare|us,minute_bar,True
intra_idiosyncratic_kurtosis,ashare|us,minute_bar,True
intra_idiosyncratic_kurtosis_ex_self,ashare|us,minute_bar,True
intra_idiosyncratic_skewness,ashare|us,minute_bar,True
intra_idiosyncratic_skewness_ex_self,ashare|us,minute_bar,True
intra_idiosyncratic_variance_ex_self,ashare|us,minute_bar,True
intra_industry_lead_lag_ex_self,ashare|us,minute_bar,True
intra_interval_amount_share,ashare|us,minute_bar,True
intra_interval_illiquidity,ashare|us,minute_bar,True
intra_interval_realized_variance,ashare|us,minute_bar,True
intra_interval_return,ashare|us,minute_bar,True
intra_interval_volume_share,ashare|us,minute_bar,True
intra_interval_vwap_deviation,ashare|us,minute_bar,True
intra_jump_clustering,ashare|us,minute_bar,True
intra_jump_concentration,ashare|us,minute_bar,True
intra_jump_count,ashare|us,minute_bar,True
intra_jump_first_time,ashare|us,minute_bar,True
intra_jump_last_time,ashare|us,minute_bar,True
intra_jump_ratio,ashare|us,minute_bar,True
