canonical,surface,available_at,same_session_usable,inferred_available_at,inferred_same_session_usable,input_panels,status
event_historical_response_mean,daily,,,,,"['response', 'event']",OK
event_historical_response_sign_balance,daily,,,,,"['response', 'event']",OK
event_interval_mark_coupling,extended,,,,,"['event', 'mark']",OK
event_interval_memory,daily,,,,,['event'],OK
event_level_survival_share,daily,,,,,[],OK
event_local_variation,daily,,,,,['event'],OK
event_log_return_sum,daily,,,session_close,False,"['ret', 'event']",NEEDS_DECL
event_mark_autocorr,extended,,,,,"['event', 'mark']",OK
event_rate_pct,daily,,,,,[],OK
event_recency_z,daily,,,,,[],OK
event_refractory,daily,,,,,['condition'],OK
event_response_decay_rate,daily,,,,,"['response', 'event']",OK
event_response_dispersion,daily,,,,,"['response', 'event']",OK
event_response_effective_events,extended,,,,,['event'],OK
event_response_overlap_ratio,extended,,,,,['event'],OK
event_response_peak_lag,daily,,,,,"['response', 'event']",OK
event_response_reversal_strength,daily,,,,,"['response', 'event']",OK
event_return_since_last,daily,,,session_close,False,"['ret', 'event']",NEEDS_DECL
event_streak,extended,close_of_t,False,close_of_t,False,[],OK
ewm_corr,extended,,,,,"['x', 'y']",OK
ewm_cov,extended,,,,,"['x', 'y']",OK
ex_self_mad_z,extended,,,,,[],OK
ex_self_mean_gap,extended,,,,,[],OK
ex_self_rank_pct,extended,,,,,[],OK
ex_self_zscore,extended,,,,,[],OK
exp,daily,,,,,['x'],OK
exp_neg,daily,,,,,['x'],OK
expanding_rank,daily,,,,,['x'],OK
ffill_limit,daily,,,,,"['x', 'max_periods']",OK
fillna,daily,,,,,['x'],OK
fillna_const,daily,,,,,['x'],OK
fin_accrual_ratio,daily,,,,,[],OK
fin_acquisition_cash_intensity,daily,,,,,[],OK
fin_actual_expectation_divergence,daily,,,,,[],OK
fin_announcement_lag,daily,,,,,"['period_end_date', 'pub_date']",OK
fin_applicability_mask,daily,,,,,['value'],OK
fin_average_balance,daily,,,,,[],OK
fin_beat_streak,daily,,,,,[],OK
fin_borrowing_intensity,daily,,,,,[],OK
fin_cagr,daily,,,,,[],OK
fin_capex_growth,daily,,,,,[],OK
fin_capex_intensity,daily,,,,,[],OK
fin_cash_burn_runway,daily,,,,,[],OK
fin_cash_conversion,daily,,,,,[],OK
fin_cash_earnings_gap,daily,,,,,[],OK
fin_cash_sales_divergence,daily,,,,,[],OK
fin_cashflow_persistence,daily,,,,,[],OK
fin_common_size,daily,,,,,[],OK
fin_component_score,daily,,,,,[],OK
fin_comprehensive_income_gap,daily,,,,,[],OK
fin_contract_asset_growth,daily,,,,,[],OK
fin_contract_asset_intensity,daily,,,,,[],OK
fin_contract_asset_liability_gap,daily,,,,,[],OK
fin_contract_liability_growth,daily,,,,,[],OK
fin_contract_liability_intensity,daily,,,,,[],OK
fin_core_earnings_ratio,daily,,,,,[],OK
fin_cv,daily,,,,,[],OK
fin_days_since_expectation_revision,daily,,,,,[],OK
fin_days_since_update,daily,,,,,[],OK
fin_debt_repayment_intensity,daily,,,,,[],OK
fin_debt_service_coverage_proxy,daily,,,,,[],OK
fin_deferred_tax_gap,daily,,,,,[],OK
