date,strategy_nav,benchmark_nav,excess_nav,strategy_ret,benchmark_ret
2024-03-08,5.33362302,1.50040497,3.55478896,-0.00333865,-0.00600798
2024-03-11,5.34733277,1.51930101,3.51960062,0.00257044,0.01259396
2024-03-12,5.32424096,1.53537061,3.46772364,-0.00431838,0.01057697
2024-03-13,5.3253151,1.53523016,3.46874054,0.00020174,-9.147e-05
2024-03-14,5.37031106,1.53055434,3.50873597,0.00844945,-0.00304568
2024-03-15,5.37836487,1.5241163,3.5288415,0.00149969,-0.00420634
2024-03-18,5.47708443,1.54934004,3.53510804,0.01835494,0.01654975
2024-03-19,5.48433422,1.55842656,3.51914832,0.00132366,0.00586477
2024-03-20,5.45259906,1.55043545,3.51681785,-0.00578651,-0.00512768
2024-03-21,5.4909111,1.55620199,3.52840515,0.00702638,0.0037193
2024-03-22,5.43243778,1.53327631,3.54302596,-0.01064911,-0.01473181
2024-03-25,5.44876142,1.52404626,3.57519425,0.00300485,-0.00601982
2024-03-26,5.35987873,1.50544092,3.56033813,-0.01631246,-0.01220785
2024-03-27,5.31185234,1.48788443,3.57007052,-0.00896035,-0.01166203
2024-03-28,5.30877969,1.48801781,3.56768558,-0.00057845,8.965e-05
2024-03-29,5.3311308,1.49340748,3.56977641,0.00421022,0.00362205
2024-04-01,5.41328426,1.52654783,3.54609543,0.01541014,0.02219109
2024-04-02,5.41516122,1.52506765,3.55076788,0.00034673,-0.00096962
2024-04-03,5.4257376,1.52110219,3.56697771,0.00195311,-0.00260019
2024-04-08,5.44551974,1.51239286,3.60059869,0.00364598,-0.00572567
2024-04-09,5.38931232,1.50390222,3.58355233,-0.01032177,-0.00561404
2024-04-10,5.37654799,1.49026324,3.60778407,-0.00236845,-0.00906906
2024-04-11,5.37465361,1.48704704,3.61431311,-0.00035234,-0.00215814
2024-04-12,5.40779637,1.48237845,3.64805382,0.00616649,-0.0031395
2024-04-15,5.41868986,1.48388293,3.65169633,0.0020144,0.00101491
2024-04-16,5.35701201,1.46530258,3.6559084,-0.01138243,-0.01252144
2024-04-17,5.37925641,1.47501567,3.64691475,0.00415239,0.00662873
2024-04-18,5.44518252,1.49414006,3.64435883,0.01225562,0.01296555
2024-04-19,5.44302698,1.47786209,3.68304121,-0.00039586,-0.01089454
2024-04-22,5.3344608,1.46875692,3.63195619,-0.01994592,-0.00616104
2024-04-23,5.23279854,1.45539107,3.59545872,-0.01905765,-0.00910011
2024-04-24,5.27890108,1.45656725,3.6242069,0.0088103,0.00080815
2024-04-25,5.32999089,1.46778538,3.63131488,0.00967812,0.00770176
