date,strategy_nav,benchmark_nav,excess_nav,strategy_ret,benchmark_ret,excess_ret
2021-02-05,3.17374129,1.43587681,2.21031586,-0.00746339,-0.00173987,-0.00572352
2021-02-08,3.16831427,1.43413838,2.20921099,-0.00170997,-0.00121071,-0.00049926
2021-02-09,3.29252571,1.46751525,2.24360580,0.03920427,0.02327311,0.01593116
2021-02-10,3.36872479,1.49355041,2.25551462,0.02314305,0.01774099,0.00540206
2021-02-18,3.38485183,1.52790431,2.21535590,0.00478728,0.02300150,-0.01821422
2021-02-19,3.26206349,1.52016706,2.14585856,-0.03627584,-0.00506397,-0.03121187
2021-02-22,3.21397805,1.53851179,2.08901750,-0.01474080,0.01206758,-0.02680838
2021-02-23,3.12929868,1.51306171,2.06818972,-0.02634722,-0.01654201,-0.00980521
2021-02-24,3.01750537,1.49690137,2.01583446,-0.03572472,-0.01068055,-0.02504416
2021-02-25,2.97572739,1.48797902,1.99984500,-0.01384520,-0.00596055,-0.00788465
2021-02-26,2.88515742,1.45068415,1.98882536,-0.03043625,-0.02506411,-0.00537214
2021-03-01,2.92769159,1.47036564,1.99113166,0.01474241,0.01356704,0.00117537
2021-03-02,2.92503454,1.47214581,1.98691904,-0.00090756,0.00121070,-0.00211826
2021-03-03,2.91337575,1.47637108,1.97333569,-0.00398586,0.00287015,-0.00685601
2021-03-04,2.85050219,1.46065049,1.95152927,-0.02158100,-0.01064813,-0.01093287
2021-03-05,2.81863748,1.44350431,1.95263531,-0.01117863,-0.01173873,0.00056010
2021-03-08,2.75447547,1.43832697,1.91505515,-0.02276349,-0.00358665,-0.01917684
2021-03-09,2.59645937,1.38524429,1.87436930,-0.05736704,-0.03690585,-0.02046119
2021-03-10,2.60133397,1.37760019,1.88830836,0.00187740,-0.00551823,0.00739563
2021-03-11,2.67040985,1.39496057,1.91432641,0.02655402,0.01260189,0.01395213
2021-03-12,2.69668552,1.40240649,1.92289863,0.00983956,0.00533773,0.00450183
2021-03-15,2.64399598,1.38523756,1.90869498,-0.01953863,-0.01224248,-0.00729615
2021-03-16,2.62998695,1.37779695,1.90883493,-0.00529843,-0.00537136,0.00007293
2021-03-17,2.68245479,1.38605781,1.93531235,0.01994985,0.00599570,0.01395415
2021-03-18,2.75407851,1.39875770,1.96894610,0.02670081,0.00916260,0.01753821
2021-03-19,2.69356484,1.37599942,1.95753341,-0.02197239,-0.01627035,-0.00570203
2021-03-22,2.72250909,1.38341115,1.96796815,0.01074571,0.00538644,0.00535927
2021-03-23,2.67685726,1.37589521,1.94553861,-0.01676829,-0.00543290,-0.01133539
2021-03-24,2.62127245,1.35231575,1.93835829,-0.02076495,-0.01713754,-0.00362741
2021-03-25,2.62599818,1.35052210,1.94443185,0.00180284,-0.00132635,0.00312919
2021-03-26,2.70874920,1.37154330,1.97496441,0.03151221,0.01556524,0.01594697
2021-03-29,2.76834346,1.38505434,1.99872552,0.02200066,0.00985098,0.01214968
2021-03-30,2.79244174,1.38893628,2.01048945,0.00870495,0.00280273,0.00590221
2021-03-31,2.75920535,1.38329360,1.99466357,-0.01190227,-0.00406259,-0.00783968
2021-04-01,2.81239450,1.39697852,2.01319810,0.01927698,0.00989300,0.00938398
2021-04-02,2.88787654,1.41370022,2.04277859,0.02683907,0.01196991,0.01486916
2021-04-06,2.88682692,1.41884266,2.03463499,-0.00036346,0.00363757,-0.00400103
2021-04-07,2.83678062,1.40937681,2.01279076,-0.01733609,-0.00667153,-0.01066456
2021-04-08,2.88457473,1.41804260,2.03419469,0.01684801,0.00614867,0.01069934
2021-04-09,2.87087377,1.40691075,2.04055145,-0.00474973,-0.00785015,0.00310042
2021-04-12,2.80444096,1.38423130,2.02599158,-0.02314028,-0.01612003,-0.00702024
