canonical,surface,pandas_available,polars_available,duckdb_available,pandas_certified,polars_certified,duckdb_certified
fiscal_reversal_ratio,daily,False,False,False,False,False,False
fiscal_sign_agreement,daily,False,False,False,False,False,False
fiscal_sign_consistency,daily,False,False,False,False,False,False
fiscal_standardized_surprise,daily,False,False,False,False,False,False
fiscal_true_streak,daily,False,False,False,False,False,False
fix,daily,False,False,False,False,False,False
flex_max,daily,False,False,False,False,False,False
flex_min,daily,False,False,False,False,False,False
float_share_ratio,daily,False,False,False,False,False,False
floor,daily,True,True,True,True,True,True
free_float_ratio,daily,False,False,False,False,False,False
free_float_share_ratio,daily,False,False,False,False,False,False
free_float_turnover,daily,False,False,False,False,False,False
free_to_circulating_ratio,daily,False,False,False,False,False,False
fundamental_staleness,daily,False,False,False,False,False,False
garman_klass_vol,daily,False,False,False,False,False,False
ge,daily,True,True,True,True,True,True
group_corr_mst_length,daily,False,False,False,False,False,False
group_count,daily,True,True,True,True,True,True
group_current_members_tail_coexceedance,daily,False,False,False,False,False,False
group_decay_linear,daily,False,False,False,False,False,False
group_distribution_js_divergence,daily,False,False,False,False,False,False
group_ex_self_mad,daily,False,False,False,False,False,False
group_ex_self_mean,daily,False,False,False,False,False,False
group_ex_self_quantile,daily,False,False,False,False,False,False
group_ex_self_std,daily,False,False,False,False,False,False
group_ex_self_weighted_mean,daily,False,False,False,False,False,False
group_feature_effective_rank,daily,False,False,False,False,False,False
group_feature_mode_localization,daily,False,False,False,False,False,False
group_feature_mode_share,daily,False,False,False,False,False,False
group_feature_second_mode_localization,daily,False,False,False,False,False,False
group_feature_spectral_gap,daily,False,False,False,False,False,False
group_impute_median,daily,False,False,False,False,False,False
group_kurtosis,daily,False,False,False,False,False,False
group_leader_laggard_exposure,daily,False,False,False,False,False,False
group_max,daily,True,True,True,True,True,True
group_mean,daily,True,True,True,True,True,True
group_min,daily,True,True,True,True,True,True
group_multi_level_rank_consistency,daily,False,False,False,False,False,False
group_multi_resid,extended,False,False,False,False,False,False
group_neutralize,daily,True,True,True,True,True,True
group_normalize,daily,True,True,True,True,True,True
group_peer_beta_deviation,daily,False,False,False,False,False,False
group_peer_deviation_index,daily,False,False,False,False,False,False
group_peer_information_diffusion,daily,False,False,False,False,False,False
group_percentile,daily,False,False,False,False,False,False
group_quantile_spread,daily,False,False,False,False,False,False
group_rank,daily,True,True,True,True,True,True
group_rank_weighted_value,daily,False,False,False,False,False,False
group_return_dispersion_exposure,daily,False,False,False,False,False,False
group_skewness,daily,False,False,False,False,False,False
group_std,daily,True,True,True,True,True,True
group_sum,daily,True,True,True,True,True,True
group_tail_ratio,daily,False,False,False,False,False,False
group_topk_mean,daily,False,False,False,False,False,False
group_ts_decay_linear,daily,False,False,False,False,False,False
group_valid_count,daily,False,False,False,False,False,False
group_weighted_mean,daily,False,False,False,False,False,False
group_weighted_zscore,daily,False,False,False,False,False,False
group_winsorize,daily,True,True,True,True,True,True
group_zscore,daily,True,True,True,True,True,True
gt,daily,True,True,True,True,True,True
