canonical,model_family,lane,explicit_timing,role,cost_class,stateful
ts_multi_regression_resid,regression,DIAGNOSTIC_RESEARCH,False,,,False
ts_multi_regression_resid_z,regression,DIAGNOSTIC_RESEARCH,False,,,False
ts_multiscale_entropy_slope,entropy,DIAGNOSTIC_RESEARCH,False,,,False
ts_multiscale_permutation_entropy_slope,entropy,DIAGNOSTIC_RESEARCH,False,,,False
ts_ordinal_irreversibility,generic,DIAGNOSTIC_RESEARCH,False,,,False
ts_partial_corr,generic,DIAGNOSTIC_RESEARCH,False,,,False
ts_path_leadlag_area,signature,DIAGNOSTIC_RESEARCH,True,,,False
ts_path_signature_area,signature,DIAGNOSTIC_RESEARCH,True,,,False
ts_path_signature_depth2_norm,signature,DIAGNOSTIC_RESEARCH,True,,,False
ts_poly2_forecast_error,generic,FAST_NATIVE_ALPHA,False,,,False
ts_poly2_forecast_error_z,generic,FAST_NATIVE_ALPHA,False,,,False
ts_pseudocount_sample_entropy,entropy,DIAGNOSTIC_RESEARCH,False,,,False
ts_quantile,regression,DIAGNOSTIC_RESEARCH,False,,,False
ts_quantile_beta_spread,regression,DIAGNOSTIC_RESEARCH,False,,,False
ts_quantile_crossing_spectral_concentration,regression,DIAGNOSTIC_RESEARCH,False,,,False
ts_quantile_if,regression,DIAGNOSTIC_RESEARCH,False,,,False
ts_quantile_kurtosis,regression,DIAGNOSTIC_RESEARCH,False,,,False
ts_quantile_range,regression,DIAGNOSTIC_RESEARCH,False,,,False
ts_quantile_regression_beta,regression,DIAGNOSTIC_RESEARCH,False,,,False
ts_quantile_regression_coeff,regression,EXPENSIVE_CERTIFIED_ALPHA,False,,,False
ts_quantile_regression_coeff_prior,regression,FAST_NATIVE_ALPHA,False,,,False
ts_quantile_regression_resid,regression,DIAGNOSTIC_RESEARCH,False,,,False
ts_quantile_regression_slope,regression,EXPENSIVE_CERTIFIED_ALPHA,False,,,False
ts_quantile_skew,regression,DIAGNOSTIC_RESEARCH,False,,,False
ts_quantile_transport_curvature,regression,DIAGNOSTIC_RESEARCH,False,,,False
ts_quantile_transport_slope,regression,DIAGNOSTIC_RESEARCH,False,,,False
ts_recurrence_determinism,rqa,DIAGNOSTIC_RESEARCH,False,,,False
ts_recurrence_diagonal_entropy,rqa,DIAGNOSTIC_RESEARCH,False,,,False
ts_recurrence_divergence,rqa,DIAGNOSTIC_RESEARCH,False,,,False
ts_recurrence_laminarity,rqa,DIAGNOSTIC_RESEARCH,False,,,False
ts_recurrence_longest_vertical_length,rqa,DIAGNOSTIC_RESEARCH,False,,,False
ts_recurrence_mean_diagonal_length,rqa,DIAGNOSTIC_RESEARCH,False,,,False
ts_recurrence_rate,rqa,DIAGNOSTIC_RESEARCH,False,,,False
ts_recurrence_trapping_time,rqa,DIAGNOSTIC_RESEARCH,False,,,False
ts_regime_duration,state,DIAGNOSTIC_RESEARCH,False,,,False
ts_regression_forecast_error,regression,FAST_NATIVE_ALPHA,False,,,False
ts_regression_forecast_error_z,regression,FAST_NATIVE_ALPHA,False,,,False
ts_regression_in_sample_resid,regression,DIAGNOSTIC_RESEARCH,False,,,False
ts_regression_intercept,regression,DIAGNOSTIC_RESEARCH,False,,,False
ts_regression_r2,regression,DIAGNOSTIC_RESEARCH,False,,,False
ts_regression_resid,regression,DIAGNOSTIC_RESEARCH,False,,,False
ts_regression_resid_if,regression,DIAGNOSTIC_RESEARCH,False,,,False
ts_regression_resid_mean,regression,DIAGNOSTIC_RESEARCH,False,,,False
ts_regression_slope,regression,FAST_NATIVE_ALPHA,False,,,False
ts_regression_tstat,regression,DIAGNOSTIC_RESEARCH,False,,,False
ts_residualized_hsic,hsic,DIAGNOSTIC_RESEARCH,True,,,False
ts_return_spectral_entropy,entropy,DIAGNOSTIC_RESEARCH,False,,,False
ts_ridge_regression_coeff,regression,DIAGNOSTIC_RESEARCH,False,,,False
ts_ridge_regression_coeff_prior,regression,FAST_NATIVE_ALPHA,False,,,False
ts_ridge_regression_forecast_error,regression,FAST_NATIVE_ALPHA,False,,,False
ts_ridge_regression_forecast_error_z,regression,FAST_NATIVE_ALPHA,False,,,False
ts_ridge_regression_in_sample_resid,regression,DIAGNOSTIC_RESEARCH,False,,,False
ts_ridge_regression_predictive_resid,regression,FAST_NATIVE_ALPHA,False,,,False
ts_ridge_regression_resid_z,regression,DIAGNOSTIC_RESEARCH,False,,,False
ts_rqa_determinism_fixed_rr,rqa,DIAGNOSTIC_RESEARCH,False,,,False
ts_rqa_laminarity_fixed_rr,rqa,DIAGNOSTIC_RESEARCH,False,,,False
ts_run_concentration,generic,DIAGNOSTIC_RESEARCH,False,,,False
ts_run_efficiency,generic,DIAGNOSTIC_RESEARCH,False,,,False
ts_run_strength,generic,DIAGNOSTIC_RESEARCH,False,,,False
ts_sign_cluster_index,generic,DIAGNOSTIC_RESEARCH,False,,,False
ts_sign_persistence,generic,DIAGNOSTIC_RESEARCH,False,,,False
ts_signature_mahalanobis_anomaly,matrix_profile,EXPENSIVE_CERTIFIED_ALPHA,True,,,False
ts_spectral_centroid,spectral,DIAGNOSTIC_RESEARCH,False,,,False
ts_spectral_entropy,entropy,DIAGNOSTIC_RESEARCH,False,,,False
ts_spectral_flatness,spectral,DIAGNOSTIC_RESEARCH,False,,,False
ts_spectral_low_frequency_ratio,spectral,DIAGNOSTIC_RESEARCH,False,,,False
ts_spectral_peak_concentration,spectral,DIAGNOSTIC_RESEARCH,False,,,False
ts_spectral_quality_factor,spectral,DIAGNOSTIC_RESEARCH,False,,,False
ts_ssa_reconstruction_residual,ssa,EXPENSIVE_CERTIFIED_ALPHA,True,,,False
ts_state_age_percentile,state,DIAGNOSTIC_RESEARCH,False,,,False
ts_state_density,state,DIAGNOSTIC_RESEARCH,False,,,False
ts_state_entry_strength,state,DIAGNOSTIC_RESEARCH,False,,,False
ts_state_exit_hazard,state,DIAGNOSTIC_RESEARCH,False,,,False
ts_state_integral,state,DIAGNOSTIC_RESEARCH,False,,,False
ts_state_residual_life,state,DIAGNOSTIC_RESEARCH,False,,,False
ts_time_slope,generic,DIAGNOSTIC_RESEARCH,False,,,False
ts_transfer_entropy,entropy,DIAGNOSTIC_RESEARCH,False,,,False
ts_transfer_entropy_peak_excess,entropy,DIAGNOSTIC_RESEARCH,False,,,False
ts_transfer_entropy_peak_lag,entropy,DIAGNOSTIC_RESEARCH,False,,,False
ts_transfer_entropy_peak_strength,entropy,DIAGNOSTIC_RESEARCH,False,,,False
ts_transition_intensity,generic,DIAGNOSTIC_RESEARCH,False,,,False
ts_trend_tstat,generic,DIAGNOSTIC_RESEARCH,False,,,False
ts_turning_point_ratio,generic,DIAGNOSTIC_RESEARCH,False,,,False
ts_turnover_cost_quantile_distance,regression,DIAGNOSTIC_RESEARCH,False,,,False
ts_turnover_near_cost_mass,generic,DIAGNOSTIC_RESEARCH,False,,,False
ts_two_state_regime_probability,state,DIAGNOSTIC_RESEARCH,False,,,False
ts_variance_ratio_proxy,ar,DIAGNOSTIC_RESEARCH,False,,,False
ts_variance_ratio_slope,ar,DIAGNOSTIC_RESEARCH,False,,,False
ts_vector_state_local_density,state,DIAGNOSTIC_RESEARCH,False,,,False
ts_vector_state_mahalanobis,state,DIAGNOSTIC_RESEARCH,False,,,False
ts_vol_shift_score,generic,DIAGNOSTIC_RESEARCH,False,,,False
ts_wavelet_energy_slope,spectral,DIAGNOSTIC_RESEARCH,False,,,False
ts_wavelet_entropy,entropy,DIAGNOSTIC_RESEARCH,False,,,False
ts_wavelet_high_frequency_ratio,spectral,DIAGNOSTIC_RESEARCH,False,,,False
ts_wavelet_low_frequency_ratio,spectral,DIAGNOSTIC_RESEARCH,False,,,False
