canonical,model_family,category,source_file,surface,descriptive_or_predictive,fit_cutoff_offset,feature_cutoff,score_time,forecast_horizon,label_horizon,label_used,label_maturity_enforced,purge,embargo,scaler_scope,pca_scope,hyperparam_scope,filter_or_smoother,timing_contract_source,in_sample_looks_predictive
ts_effective_transfer_entropy,entropy,information_theory,cleaned_operators.advanced_information,extended,descriptive,0,0,0,0,,False,False,0,0,full,full,full,none,generated,False
ts_expectile,regression,expectile,cleaned_operators.advanced_expectile,extended,descriptive,0,0,0,0,,False,False,0,0,full,full,full,none,generated,False
ts_expectile_beta,regression,expectile,cleaned_operators.advanced_expectile,extended,descriptive,0,0,0,0,,False,False,0,0,full,full,full,none,generated,False
ts_expectile_beta_spread,regression,time_series_regression,cleaned_operators.ts_model.dynamic_regression,daily,descriptive,0,0,0,0,,False,False,0,0,full,full,full,none,generated,False
ts_expectile_regression_coeff,regression,time_series_regression,cleaned_operators.ts_model.dynamic_regression,daily,descriptive,0,0,0,0,,False,False,0,0,full,full,full,none,generated,False
ts_expectile_regression_coeff_prior,regression,time_series_regression,cleaned_operators.ts_model.dynamic_regression,daily,predictive,1,1,0,0,,False,False,0,0,train,train,train,none,generated,False
ts_expectile_regression_forecast_error,regression,time_series_regression,cleaned_operators.ts_model.dynamic_regression,daily,predictive,1,1,0,1,1,True,True,0,0,train,train,train,none,generated,False
ts_expectile_regression_resid,regression,time_series_regression,cleaned_operators.ts_model.dynamic_regression,daily,descriptive,0,0,0,0,,False,False,0,0,full,full,full,none,generated,False
ts_feature_pca_reconstruction_error,pca,panel_model,cleaned_operators.cross_section.panel_model,extended,descriptive,0,0,0,0,,False,False,0,0,full,full,full,none,generated,False
ts_first_passage_bias,dmd,first_passage,cleaned_operators.first_passage,daily,descriptive,0,0,0,0,,False,False,0,0,full,full,full,none,generated,False
ts_first_passage_conditional_time,dmd,first_passage,cleaned_operators.first_passage,daily,descriptive,0,0,0,0,,False,False,0,0,full,full,full,none,generated,False
ts_first_passage_hit_probability,dmd,first_passage,cleaned_operators.first_passage,daily,descriptive,0,0,0,0,,False,False,0,0,full,full,full,none,generated,False
ts_garch_next_vol_forecast,garch,time_series_regression,cleaned_operators.ts_model.volatility,extended,predictive,1,1,0,1,,False,False,0,0,full,full,full,none,explicit,False
ts_garch_persistence,garch,time_series_regression,cleaned_operators.ts_model.volatility,extended,predictive,1,1,0,0,,False,False,0,0,full,full,full,none,explicit,False
ts_garch_standardized_shock,garch,time_series_regression,cleaned_operators.ts_model.volatility,extended,predictive,1,1,0,0,,False,False,0,0,full,full,full,none,explicit,False
ts_garch_vol_surprise,garch,time_series_regression,cleaned_operators.ts_model.volatility,extended,predictive,1,1,0,0,,False,False,0,0,full,full,full,none,explicit,False
ts_gjr_garch_vol_forecast,garch,time_series_regression,cleaned_operators.ts_model.volatility,extended,predictive,1,1,0,1,,False,False,0,0,full,full,full,none,explicit,False
ts_gjr_leverage,garch,time_series_regression,cleaned_operators.ts_model.volatility,extended,descriptive,0,0,0,0,,False,False,0,0,full,full,full,none,generated,False
ts_hankel_effective_rank,dmd,hankel,cleaned_operators.hankel,daily,descriptive,0,0,0,0,,False,False,0,0,full,full,full,none,explicit,False
ts_hankel_singular_gap,dmd,hankel,cleaned_operators.hankel,daily,descriptive,0,0,0,0,,False,False,0,0,full,full,full,none,explicit,False
