canonical,surface,available_at,same_session_usable,inferred_available_at,inferred_same_session_usable,input_panels,status
group_ts_decay_linear,daily,,,,,['x'],OK
group_valid_count,daily,,,,,[],OK
group_wasserstein_barycenter_distance,extended,,,,,[],OK
group_weighted_mean,daily,,,,,[],OK
group_weighted_zscore,daily,,,,,[],OK
group_winsorize,daily,,,,,['x'],OK
group_zscore,daily,,,,,['x'],OK
gt,daily,,,,,"['x', 'y']",OK
hierarchical_group_neutralize,daily,,,,,"['x', 'group', 'subgroup']",OK
high_low_spread_proxy,daily,,,,,[],OK
holder_class_entropy,daily,,,,,[],OK
holder_class_js_shift,extended,,,,,"['s1', 's2', 's3', 's4', 's5', 'ps1', 'ps2', 'ps3', 'ps4', 'ps5']",OK
holder_common_holding_peer_return,daily,,,,,[],OK
holder_company_ownership_hhi,extended,,,,,[],OK
holder_concentration,daily,,,,,"['top_holder_shares', 'total_shares']",OK
holder_concentration_acceleration,daily,,,,,[],OK
holder_concentration_slope,daily,,,,,[],OK
holder_disclosure_count,extended,,,,,[],OK
holder_disclosure_coverage,extended,,,,,[],OK
holder_entry_share,daily,,,,,[],OK
holder_exit_share,daily,,,,,[],OK
holder_float_concentration_gap,daily,,,,,[],OK
holder_freeze_concentration,daily,,,,,[],OK
holder_freeze_ratio,daily,,,,,[],OK
holder_id_matched_churn,daily,,,,,[],OK
holder_id_matched_entry_share,daily,,,,,[],OK
holder_id_matched_exit_share,daily,,,,,[],OK
holder_id_overlap_ratio,daily,,,,,[],OK
holder_locked_share_ratio,daily,,,,,[],OK
holder_nature_entropy,daily,,,,,[],OK
holder_net_entry_share,daily,,,,,[],OK
holder_observed_topk_hhi,extended,,,,,[],OK
holder_peer_return_breadth,daily,,,,,[],OK
holder_pledge_change,daily,,,,,[],OK
holder_pledge_churn,daily,,,,,[],OK
holder_pledge_concentration,daily,,,,,[],OK
holder_pledge_ratio,daily,,,,,[],OK
holder_pledged_holder_count,daily,,,,,[],OK
holder_rank_stability,daily,,,,,[],OK
holder_share_weighted_rank_migration,daily,,,,,[],OK
holder_shareholder_network_centrality,daily,,,,,[],OK
holder_shareholder_overlap_ratio,daily,,,,,[],OK
holder_topk_share_sum,extended,,,,,[],OK
holder_weighted_churn,daily,,,,,[],OK
hump_decay,daily,,,,,['x'],OK
ichimoku_cloud_position,daily,,,,,[],OK
ichimoku_cloud_width,daily,,,,,[],OK
ichimoku_kijun,daily,,,,,[],OK
ichimoku_senkou_a,daily,,,,,[],OK
ichimoku_senkou_b,daily,,,,,[],OK
ichimoku_tenkan,daily,,,,,[],OK
idio_skew,daily,,,session_close,False,['ret'],NEEDS_DECL
idio_vol,daily,,,session_close,False,['ret'],NEEDS_DECL
index_entry_exit_event,daily,,,,,['member'],OK
index_event_decay,daily,,,,,[],OK
index_member,daily,,,,,['member'],OK
index_membership_age,daily,,,,,['member'],OK
index_reconstitution_churn,daily,,,,,[],OK
index_weight,daily,,,,,['weight'],OK
index_weight_change,daily,,,,,['weight'],OK
index_weight_gap_to_free_float,daily,,,,,[],OK
industry_rolling_pca_loading,extended,,,,,[],OK
industry_size_neutralize,daily,,,,,['x'],OK
intra_abs_return_profile_cosine,daily,,,session_close,False,['close'],NEEDS_DECL
intra_amihud,daily,session_close,False,session_close,False,"['close', 'amount']",OK
intra_amount_profile_cosine,daily,,,,,['x'],OK
intra_amount_profile_jsd,daily,,,,,['x'],OK
intra_bar_range_deviation,daily,,,,,[],OK
intra_bar_range_persistence,daily,,,,,[],OK
intra_beta_asymmetry,daily,,,session_close,False,"['close', 'free_market_cap']",NEEDS_DECL
intra_bipower_variation,daily,session_close,False,session_close,False,['close'],OK
intra_close_participation,daily,,,session_close,False,['volume'],NEEDS_DECL
intra_concentration,daily,session_close,False,session_close,False,['value'],OK
intra_continuous_variance,daily,,,session_close,False,['close'],NEEDS_DECL
intra_down_down_semibeta,daily,,,session_close,False,"['close', 'free_market_cap']",NEEDS_DECL
intra_down_up_semibeta,daily,,,session_close,False,"['close', 'free_market_cap']",NEEDS_DECL
intra_drawdown_depth,daily,,,session_close,False,['close'],NEEDS_DECL
intra_drawdown_duration,daily,,,session_close,False,['close'],NEEDS_DECL
intra_drawdown_recovery_half_life,daily,,,session_close,False,['close'],NEEDS_DECL
intra_entropy,daily,session_close,False,session_close,False,['value'],OK
intra_extreme_bar_return,daily,session_close,False,session_close,False,['close'],OK
