canonical,semantic_version,surface,role,status,source_module,backends,parameter_domain_status,semantic_golden_status,pit_status,source_pit_status,backend_parity_status,batch_parity_status,chunk_status,incremental_status,checkpoint_status,optimizer_diff_status,numeric_stress_status,shape_status,null_inf_status,determinism_status,current_sha,evidence_hash,final_production_ready,reason
ashare_days_since_limit_down,,daily,daily,FAIL,,"pandas_numpy,polars",PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PASS,PENDING,PASS,d34cc9f50df92a10ca5c84a6d64d4682d2cd9f23,37727f0b24519c09,False,n;o; ;t;y;p;e;d; ;s;i;g;n;a;t;u;r;e
ashare_days_since_limit_up,,daily,daily,FAIL,,"pandas_numpy,polars",PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PASS,PENDING,PASS,d34cc9f50df92a10ca5c84a6d64d4682d2cd9f23,b520c6734a2633ca,False,n;o; ;t;y;p;e;d; ;s;i;g;n;a;t;u;r;e
ashare_failed_limit_count,,daily,daily,FAIL,,"pandas_numpy,polars",PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PASS,PENDING,PASS,d34cc9f50df92a10ca5c84a6d64d4682d2cd9f23,942de9285ea34fdf,False,n;o; ;t;y;p;e;d; ;s;i;g;n;a;t;u;r;e
ashare_limit_asymmetry,,daily,daily,FAIL,,"pandas_numpy,polars",PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PASS,PENDING,PASS,d34cc9f50df92a10ca5c84a6d64d4682d2cd9f23,9a8e9ed91708dd4c,False,n;o; ;t;y;p;e;d; ;s;i;g;n;a;t;u;r;e
ashare_limit_distance,,daily,daily,FAIL,,"pandas_numpy,polars,sql",PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PASS,PENDING,PASS,d34cc9f50df92a10ca5c84a6d64d4682d2cd9f23,d440477b2ec3a255,False,n;o; ;t;y;p;e;d; ;s;i;g;n;a;t;u;r;e
ashare_limit_down_streak,,daily,daily,FAIL,,"pandas_numpy,polars",PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PASS,PENDING,PASS,d34cc9f50df92a10ca5c84a6d64d4682d2cd9f23,6603ac46122e3369,False,n;o; ;t;y;p;e;d; ;s;i;g;n;a;t;u;r;e
ashare_limit_down_touch,,daily,daily,FAIL,,"pandas_numpy,polars",PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PASS,PENDING,PASS,d34cc9f50df92a10ca5c84a6d64d4682d2cd9f23,fa22ceba9e200404,False,n;o; ;t;y;p;e;d; ;s;i;g;n;a;t;u;r;e
ashare_limit_down_volume_ratio,,daily,daily,FAIL,,"pandas_numpy,polars",PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PASS,PENDING,PASS,d34cc9f50df92a10ca5c84a6d64d4682d2cd9f23,71e26f99f808784e,False,n;o; ;t;y;p;e;d; ;s;i;g;n;a;t;u;r;e
ashare_limit_event_density,,daily,daily,FAIL,,"pandas_numpy,polars",PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PASS,PENDING,PASS,d34cc9f50df92a10ca5c84a6d64d4682d2cd9f23,c5664d4c14232828,False,n;o; ;t;y;p;e;d; ;s;i;g;n;a;t;u;r;e
ashare_limit_failed,,daily,daily,FAIL,,"pandas_numpy,polars",PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PASS,PENDING,PASS,d34cc9f50df92a10ca5c84a6d64d4682d2cd9f23,95e32a45bcf01f48,False,n;o; ;t;y;p;e;d; ;s;i;g;n;a;t;u;r;e
ashare_limit_one_price,,daily,daily,FAIL,,"pandas_numpy,polars",PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PASS,PENDING,PASS,d34cc9f50df92a10ca5c84a6d64d4682d2cd9f23,c8843dd22746b51b,False,n;o; ;t;y;p;e;d; ;s;i;g;n;a;t;u;r;e
ashare_limit_open_down_streak,,daily,daily,FAIL,,"pandas_numpy,polars",PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PASS,PENDING,PASS,d34cc9f50df92a10ca5c84a6d64d4682d2cd9f23,96ad36378c301289,False,n;o; ;t;y;p;e;d; ;s;i;g;n;a;t;u;r;e
ashare_limit_open_failed,,daily,daily,FAIL,,"pandas_numpy,polars",PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PASS,PENDING,PASS,d34cc9f50df92a10ca5c84a6d64d4682d2cd9f23,eb9b12637baf6f36,False,n;o; ;t;y;p;e;d; ;s;i;g;n;a;t;u;r;e
ashare_limit_open_up_streak,,daily,daily,FAIL,,"pandas_numpy,polars",PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PASS,PENDING,PASS,d34cc9f50df92a10ca5c84a6d64d4682d2cd9f23,bd976d5eb422400f,False,n;o; ;t;y;p;e;d; ;s;i;g;n;a;t;u;r;e
ashare_limit_touch_count,,daily,daily,FAIL,,"pandas_numpy,polars",PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PASS,PENDING,PASS,d34cc9f50df92a10ca5c84a6d64d4682d2cd9f23,b06581e4b6b32f5d,False,n;o; ;t;y;p;e;d; ;s;i;g;n;a;t;u;r;e
ashare_limit_up_streak,,daily,daily,FAIL,,"pandas_numpy,polars",PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PASS,PENDING,PASS,d34cc9f50df92a10ca5c84a6d64d4682d2cd9f23,efa83571c8e80b95,False,n;o; ;t;y;p;e;d; ;s;i;g;n;a;t;u;r;e
